"label","subject","body"
"spam","Moms Earning $8000 from Home","Moms are earning $8000 a month from home using this one weird trick. Banks hate it. Click here to find out how you can start earning today with no experience."
"ham","Spring Career Fair Registration","You have successfully registered for the Spring Career Fair on April 20th. Please bring copies of your resume. Doors open at 10am in the gymnasium."
"ham","Password Reset Request","You requested a password reset for your account. Click the link below to create a new password. This link expires in 1 hour. If you did not request this please ignore."
"spam","Win a Brand New Car","Enter our grand prize draw to win a brand new 2024 Toyota Camry. No purchase necessary. Just click below and fill out your details for a chance to win."
"ham","AI Conference Schedule Released","The schedule for the annual AI conference is now available. Sessions begin at 9am on Friday. Your badge can be picked up at the registration desk."
"spam","Virus Detected Call Now","This is your final warning. Your computer has been infected with a virus. Call our toll-free number immediately to have it removed before your data is stolen."
"spam","Free All Inclusive Vacation","You and a guest have been selected for a free 7 night vacation to Cancun. All inclusive. To claim your trip enter your credit card for taxes and fees only."
"ham","Office Closed Monday Holiday","Please note that our office will be closed on Monday for the holiday. Regular hours resume on Tuesday. Enjoy the long weekend and stay safe."
"spam","Secret Investment Strategy","Wealthy investors do not want you to know this secret. One simple strategy turns $200 into $20000 in 30 days. Claim your free report before it is taken down."
"spam","Free Amazon Gift Card","Claim your free $100 Amazon gift card now. Hurry only 12 left. All we need is your name and email. No credit card required. Click here to claim yours today."
"spam","Free Bitcoin Giveaway","We are giving away 0.5 Bitcoin to 100 lucky winners today. Just verify your wallet address by clicking below. This promotion ends in 2 hours. Act now."
"spam","Bad Credit No Problem","Rebuild your credit fast with our guaranteed approval credit card. No credit check required. Get approved in minutes regardless of your credit history. Apply now."
"ham","Invoice for March Services","Please find attached the invoice for services rendered in March. Total amount due is $1200 by April 30th. Let me know if you have any questions."
"ham","Weekly Analytics Report","Attached is the weekly analytics report for the period ending April 4th. Highlights include a 12% increase in traffic and a 5% improvement in conversion rate."
"spam","Win $1000 Cash Today","You have been selected to win $1000 cash today. Just complete a short 2 minute survey and we will deposit the money directly to your PayPal account. Click now."
"spam","Bank Account Unusual Activity","Unusual activity has been detected on your bank account. Your account has been temporarily frozen. Please verify your information immediately to restore access."
"spam","We Have Your Webcam Footage","We have gained access to your device and recorded you. Pay $800 in Bitcoin within 24 hours or we will send the footage to all of your contacts."
"spam","Customs Package Release Fee","A package is being held for you at customs. Pay a small $3.99 release fee to have it delivered to your door. This offer expires in 24 hours."
"ham","Dinner Party Saturday","Hi we are having a small dinner party on Saturday evening at 7pm and would love for you to join us. Just a casual gathering. Let me know if you can make it."
"spam","Urgent Security Patch Required","Your device requires an urgent security update. Click the link below to install the patch. Failure to update within 24 hours may result in data loss."
"ham","Happy Birthday Lunch Plans","Wishing you a wonderful birthday! Hope your day is filled with joy. Let us know if you want to grab lunch to celebrate. Have a great one!"
"spam","Sweepstakes Winner $5000","You have won the weekly sweepstakes. Your prize is $5000 cash. To receive your winnings we just need to confirm your identity. Click here and enter your details."
"spam","Final Notice Before Collections","This is your final notice before we hand your account over to a collections agency. Pay the outstanding balance of $247 now to avoid legal action and credit damage."
"ham","Team Culture Survey","Hi could you take 5 minutes to fill out the team culture survey. Your feedback is anonymous and will help us improve how we work together. Link is attached."
"spam","Free Premium Subscription Activated","You have been gifted a 1 year premium subscription. To activate your account simply click the link below and enter your payment details for identity verification."
"ham","Flight Booking Confirmation","Your booking is confirmed. Flight AC837 departs Toronto at 7:45am on April 12th and arrives in Vancouver at 10:15am. Check in opens 24 hours before departure."
"ham","Capstone Project Update","Quick update on the capstone project. We finished the data preprocessing step and will start on model training this week. On track for the April 18th deadline."
"spam","Government Relief Payment $1400","Congratulations you qualify for a government relief payment of $1400. To receive your funds you must verify your social insurance number and banking details today."
"ham","Montreal Trip Itinerary","Attached is your full travel itinerary for the Montreal trip including hotel confirmation car rental details and the conference agenda. Have a great trip!"
"ham","Team Standup Notes Thursday","Notes from todays standup: Kyle is working on the login bug Ese is finishing the frontend and Raj will complete the API integration by Thursday. Next sync Friday."
"ham","Todays Lecture Cancelled","Hi all unfortunately todays lecture has been cancelled due to illness. The slides will be posted online and we will cover the material next Tuesday. Apologies."
"ham","Lunch Plans Today","Hey are you free for lunch today around noon? Thinking of trying that new sushi place on King Street. Let me know and I can grab us a table."
"spam","Special Compensation Payment","You have been selected from millions of users to receive a special compensation payment. To process your $2500 payment we just need your banking information."
"spam","Personal Loan No Credit Check","Struggling with debt? Get approved for a $10000 personal loan today with no credit check and no collateral required. Apply in 5 minutes online."
"spam","International Lottery Winner","Your email address has won the 2026 international lottery. Your prize is $1.5 million USD. To claim your winnings reply with your full name and phone number."
"ham","Summer Internship Offer","Hi we are pleased to offer you a summer internship position on our data engineering team. The internship runs from May to August. Please confirm by Friday."
"ham","Lab Group Looking for Partner","Hey we are still looking for a third person for our lab group. Would you want to join us? We have been meeting Tuesday evenings in the library."
"ham","April Rent Receipt","Hi please find attached your rent receipt for April 2026 in the amount of $1450. Feel free to reach out if you have any questions about your account."
"ham","Study Group Tonight 7pm","Reminder that our study group meets tonight at 7pm in the second floor study room. We will be going over the practice exam. Bring your notes."
"ham","Work Shift Schedule Next Week","Hey the schedule for next week has been posted on the staff portal. You are working Thursday 4pm to 9pm and Saturday 11am to 5pm. Let me know if there are issues."
"ham","Q2 Budget Approved","Hi your department budget request for Q2 has been approved. The funds will be available in your account by end of week. Please keep receipts for all expenses."
"ham","New Student Orientation September","Welcome to the university. Your orientation session is scheduled for September 3rd at 10am in the main auditorium. More details will follow closer to the date."
"ham","Campus Parking Pass Expiry","Your campus parking pass expires at the end of the month. To renew please visit the transportation office or log in to the parking portal before April 30th."
"ham","Winter Semester Grades Posted","Your grades for the winter semester have been posted to your student portal. Please review them and contact your instructor within 10 days if you have concerns."
"ham","Adobe Creative Cloud Renewal","Your annual subscription to Adobe Creative Cloud will renew on May 1st for $59.99. No action is needed. Visit your account settings to make any changes."
"ham","Reference Letter Request","Hi Professor I hope you are doing well. I am applying for a graduate program and was wondering if you would be willing to write a reference letter for me."
"ham","Book Club This Thursday","Hi everyone just a reminder that book club is this Thursday at 8pm. We are discussing chapters 12 through 20. Hope to see you all there!"
"ham","Electricity Bill Due April 15","Your electricity bill for March is $87.40 and is due on April 15th. You can pay online through your account portal or set up automatic payments."
"ham","New Employee First Day Monday","Welcome to the team. Your first day is Monday April 7th. Please arrive at 9am and ask for Sarah at the front desk. Bring your ID for badge setup."
"ham","Data Science Seminar Registered","You are registered for the Data Science seminar on April 14th from 2pm to 4pm in room 310. A calendar invite has been sent to your email."
"ham","Assignment 3 Extension Approved","Hi given the circumstances your request for an extension on Assignment 3 has been approved. The new deadline is Sunday April 13th at 11:59pm."
"ham","Carpool Reminder Your Turn","Hey just a reminder that it is your turn to drive this week. Pickup is at 8:15am. Let me know if anything changes and I can arrange an alternative."
"ham","Soccer Practice Saturday 9am","Practice is confirmed for Saturday at 9am at Riverdale Park. Please bring water and wear cleats. Let the coach know if you cannot make it."
"ham","Research Survey 10 Minutes","Hi I am a graduate student conducting research on study habits. Would you be willing to complete a short 10 minute survey? Your participation is voluntary."
"ham","Tuition Payment Confirmed","This confirms receipt of your tuition payment of $3200 for the summer semester. Your account balance is now $0. Have a great semester!"
"spam","PayPal Account Limited","Your PayPal account has been limited. Please verify your identity by clicking below and entering your account credentials to restore full access immediately."
"spam","IRS Tax Refund Notification","The IRS has identified a tax refund of $847 owed to you. To process your refund click the link and verify your social security number and banking details."
"spam","Amazon Package On Hold","We could not deliver your Amazon package due to an incomplete address. Click here to confirm your details and pay a $1.99 redelivery fee within 24 hours."
"spam","Bitcoin Insider Strategy","Bitcoin insiders are using this secret strategy to make $3000 a day. Limited to the first 50 people who sign up. Claim your free guide now before it is gone."
"spam","McAfee Antivirus Expired","Your McAfee antivirus has expired and your PC is now at risk. Renew now for only $29.99 and get lifetime protection. Click here to secure your device today."
"spam","Government Lawsuit Your SIN","The government has filed a lawsuit against your social insurance number for unpaid taxes. Call our legal department immediately to avoid arrest and penalties."
"spam","Unusual Login Confirm Identity","We have noticed unusual login activity on your account. For your security please confirm your identity by entering your password and date of birth at the link below."
"spam","Nigerian Prince Transfer Request","I am a retired executive and need a trusted partner to help me transfer $12 million USD overseas. In return you will receive 30% of the total amount. Contact me."
"spam","Student Loan Forgiveness Program","You qualify for complete student loan forgiveness under the new federal program. Apply now before the deadline. Our advisors will handle everything for a small fee."
"spam","International Parcel Customs Fee","Your international parcel is being held at the customs office. A fee of $2.50 is required for release. Pay now using the link below to receive your package."
"spam","iPhone Virus Remove Now","Our security scan has detected 3 viruses on your iPhone. Immediate action is required. Tap the button below to remove threats and protect your personal data."
"spam","Cash App Transfer Pending","Someone has sent you $350 via Cash App. To claim your payment you must first verify your account by entering your login credentials at the link below."
"spam","Microsoft License Expired","Your Windows license has expired and your computer will be locked in 24 hours. Call our toll-free support line immediately to renew your license and avoid data loss."
"ham","Capstone Presentation April 24","Hi team our capstone presentation has been scheduled for April 24th at 2pm in room 105. We have 20 minutes to present plus 10 minutes for questions."
"ham","Office Supply Order Request","Hi could you approve a small office supply order? We need printer paper pens and a couple of binders. Total estimated cost is around $45. Thanks."
"ham","Draft Report Feedback","Hi I reviewed your draft report and left comments in the shared document. Overall it looks great. Just a few small edits to the introduction and conclusion."
"ham","Classes Resume Monday","Hope everyone had a good break. As a reminder classes resume Monday. The updated course outline with revised deadlines has been posted to the course portal."
"ham","STEM Networking Event Tonight","Reminder that the STEM networking event is tonight from 6pm to 8pm in the student union building. Dress business casual and bring your resume if you have one."
"ham","Textbook on Reserve at Library","The course textbook for COMP 3400 is now available on 3 hour reserve at the library. There are 2 copies available. Check the library portal to place a hold."
"ham","Remote Work Policy Update","Please take a moment to review the updated remote work policy attached to this email. The changes take effect May 1st. Reply with any questions or concerns."
"ham","Group Project Proposal Due Friday","Hi everyone just a reminder that our group project proposal is due this Friday. Can we meet Wednesday evening to finalize everything before we submit?"
"ham","Elevator Maintenance Wednesday","Please be advised that the building elevators will be out of service on Wednesday from 8am to 12pm for routine maintenance. We apologize for the inconvenience."
"ham","LinkedIn Coffee Chat Request","Hi I came across your LinkedIn profile and I am really interested in your work in machine learning. Would you be open to a 20 minute virtual coffee chat?"
"ham","Final Exam Room Assignment","Your exam room assignment for the final exam has been posted. You are in room 201. The exam begins at 9am on April 22nd. Doors close at 9:15am."
"ham","Robotics Club Meeting Wednesday","Hey just a reminder that the robotics club meets this Wednesday at 6pm in the engineering building room 112. New members are welcome!"
"ham","Maintenance Worker Thursday","Hi I will be sending a maintenance worker to fix the bathroom faucet on Thursday between 10am and 2pm. You do not need to be home. Thanks for your patience."
"ham","Transit Pass Loaded Successfully","Your monthly transit pass has been successfully loaded with $120. Your balance is now valid until April 30th. Thank you for using the transit portal."
"ham","Research Paper Accepted","Congratulations your paper has been accepted for presentation at the conference. Please confirm your attendance and submit your final version by April 15th."
"ham","Food Bank Volunteer Shift","Hi this is a reminder for your volunteer shift at the food bank this Saturday from 10am to 2pm. Please wear comfortable clothing and closed toe shoes."
"ham","Planned Internet Outage Sunday","Please be advised there will be a planned internet outage in your building on Sunday from 2am to 5am for infrastructure upgrades. We apologize for any inconvenience."
"ham","Coaching Session Tuesday","Your coaching session with Jamie has been confirmed for Tuesday April 8th at 5pm. The session will be held on Zoom. A link has been sent to your calendar."
"ham","Academic Probation Notice","This is an official notice that your GPA has fallen below the minimum required. Please meet with your academic advisor within two weeks to discuss your options."
"ham","Roommate Agreement Draft","Hey I drafted a simple roommate agreement covering chores guests and quiet hours. Can you take a look and let me know if you want to change anything before we sign?"
"ham","Charity 5K Run Registration","You are registered for the 5K charity run on May 3rd. Race day check in opens at 8am at Centennial Park. Your bib number will be emailed the week before."
"ham","Lab Report Due This Friday","Just a heads up that the lab report for experiment 4 is due this Friday at noon. Remember to include your hypothesis methods results and discussion sections."
"ham","Referral Bonus Added to Account","Hi you referred a friend who just made their first purchase. As a thank you a $10 credit has been added to your account. Thanks for spreading the word!"
"spam","Earn Money Online No Experience","No experience needed. Work only 2 hours a day from your phone. Hundreds of people are already earning $500 or more daily using this simple system. Join free today."
"spam","Federal Benefit Payment Eligible","You are eligible to receive a one time federal benefit payment of $1380. This is not a loan. Click below to verify your identity and receive your payment in 24 hours."
"spam","Dropbox Storage Full Warning","Your Dropbox storage is full and your files are at risk of being deleted. Upgrade now for only $1.99 a month and never worry about losing your files again."
"spam","Google Account Suspicious Login","Someone tried to log into your Google account from Russia. Click here immediately to secure your account by resetting your password and verifying your recovery phone."
"spam","Lowest Car Insurance Rates","Congratulations you qualify for the lowest car insurance rates in your area. Get a free quote now and start saving up to 40% on your monthly premium today."
"spam","Refund Being Processed","A refund of $312 is being processed to your account. To confirm your identity and receive the funds please enter your bank account details using the secure link."
"spam","Inheritance You May Be Entitled To","I am contacting you on behalf of a deceased client who shares your last name and left an estate worth $4.2 million. You may be entitled to claim this inheritance."
"spam","Survey Reward $75 Gift Card","Thank you for completing our survey. Your $75 reward is ready to be claimed. Click the link below and enter your shipping address to receive your Amazon gift card."
"spam","Cloud Storage Expiring 48 Hours","Your 50GB of free cloud storage expires in 48 hours. All your photos and documents will be deleted unless you upgrade now. Click here to keep your files safe."
"ham","Project Kickoff Meeting Monday","Hi everyone the project kickoff meeting is scheduled for Monday at 1pm in conference room B. Please review the project brief beforehand. Looking forward to it."
"ham","Prescription Ready for Pickup","Hi this is a reminder that your prescription is ready for pickup at the pharmacy. You can pick it up anytime during business hours Monday through Saturday."
"ham","Annual Performance Review","Your annual performance review is scheduled for April 16th at 2pm. Please complete the self-assessment form in the HR portal before the meeting."
"ham","School Photo Day Reminder","This is a reminder that school photo day is this Thursday. Students should arrive in their usual attire. No specific dress code is required."
"ham","Podcast Episode Released","Hey the new episode of our podcast just dropped. This week we are talking about productivity habits and how to build a better morning routine. Give it a listen!"
"ham","Gym Class Registration Open","Registration for spring fitness classes is now open. Spaces fill up fast so log in to the member portal and book your preferred classes before they are gone."
"ham","Potluck Signup Sheet","Hi team we are organizing a potluck lunch next Friday. Please sign up on the shared sheet and let us know what dish you will be bringing. All dietary needs welcome."
"ham","End of Year Report Due","Hi just a reminder that your end of year department summary is due to HR by April 25th. Template and instructions are available on the shared drive."
"ham","Landlord Inspection Notice","Hi I will be conducting the annual unit inspection on April 11th between 10am and noon. Please ensure the unit is accessible. Let me know if that time does not work."
"ham","New Coffee Machine in Break Room","Just a heads up that a new coffee machine has been installed in the break room on the 3rd floor. It is ready to use and instructions are posted on the machine."
"ham","Study Abroad Application Deadline","Reminder that the application deadline for the fall study abroad program is April 18th. Visit the international office or apply online through the student portal."
"ham","Payroll Deposit Notification","Your payroll deposit for the period ending March 31st has been processed. The funds should appear in your account within 1 to 2 business days."
"ham","Extracurricular Fair This Week","The student extracurricular fair is happening this Wednesday from 11am to 3pm in the main quad. Come check out over 50 clubs and organizations on campus."
"ham","Lecture Recording Available","The recording from last Thursdays guest lecture on neural networks is now available on the course portal. The link will expire in 2 weeks so download it soon."
"ham","Office Hours Moved This Week","Hi all just a note that my office hours this week will be Thursday 3pm to 4pm instead of the usual Wednesday slot. Apologies for any inconvenience."
"ham","Birthday Potluck for Sarah","Hey just letting you know we are doing a surprise birthday potluck for Sarah on Friday at noon in the office kitchen. Feel free to bring something small to share."
"ham","Waiting List Update","Good news! A spot has opened up in the course you were waitlisted for. You have 48 hours to accept before it is offered to the next student on the list."
"spam","You Have Been Pre Selected","You have been pre selected to receive a $500 prepaid Visa card. No purchase necessary. To claim your card simply verify your mailing address by clicking below."
"spam","Hot Investment Opportunity","Savvy investors are quietly getting rich with this one stock. Our analysts predict a 400% return in the next 6 months. Get in now before the price explodes."
"spam","Dating Profile View Alert","Someone in your area viewed your dating profile and left a message. Sign up free to read it and connect with local singles who are interested in meeting you."
"spam","Subscription Charge Notice","You are being charged $89.99 for your annual subscription renewal. If you did not authorize this charge call our toll free number immediately to cancel and get a refund."
"spam","Your Device Has Spyware","Spyware has been installed on your device and someone is reading your messages. Download our free cleaner app now to remove all threats and secure your data."
"spam","Unclaimed Tax Return","Our records show you have an unclaimed tax return of $634 from 2023. To process your refund visit the link below and confirm your personal and banking information."
"spam","Work From Home $3000 Weekly","Join thousands of people earning $3000 a week from home by completing simple tasks online. No skills required. Training provided. Start earning by tomorrow."
"spam","Your Computer Is Infected","Warning your computer is infected with 5 viruses. Your personal data including passwords and banking information may already be compromised. Act immediately."
"spam","Pending Wire Transfer","A wire transfer of $4500 has been initiated to your account. If you did not request this please verify your identity immediately to reverse the transaction."
"spam","Exclusive Members Only Discount","As a valued customer you have been selected for an exclusive members only discount of 70% off your next purchase. Use code MEMBER70 at checkout. Offer expires tonight."
"ham","After School Program Reminder","Hi this is a reminder that the after school coding program runs every Tuesday and Thursday from 3:30pm to 5pm in room 14. Snacks are provided."
"ham","Quarterly Business Review","Hi the quarterly business review is scheduled for April 17th at 10am. Please have your department metrics and key achievements ready to present. Duration is 2 hours."
"ham","Campus Gym Hours Extended","Good news! The campus gym has extended its hours and is now open until midnight on weekdays. Weekend hours remain the same. Updated schedule is on the website."
"ham","Thesis Draft Feedback Ready","Hi I have finished reading your thesis draft and have left detailed comments in the document. Overall strong work. Lets meet to discuss before you submit the final version."
"ham","Car Service Appointment Reminder","This is a reminder for your car service appointment at Toyota on April 10th at 8:30am. Please bring your vehicle registration and insurance. Estimated time is 90 minutes."
"ham","Wi-Fi Password Changed","Hi just a heads up that the office Wi-Fi password was changed this morning. The new password has been posted on the notice board near the printer on each floor."
"ham","End of Lease Reminder","Your current lease expires on June 30th. Please let us know by May 1st whether you intend to renew. We will send the updated lease agreement for review next week."
"ham","New Menu at the Cafeteria","Just a heads up that the cafeteria has rolled out a new spring menu starting this Monday. New items include a grain bowl station and expanded vegan options."
"ham","Professional Development Day","Please be advised that the office will be closed on April 18th for our annual professional development day. All staff should attend the all-day training session."
"ham","Scholarship Application Reminder","Reminder that the deadline to apply for the academic excellence scholarship is April 21st. Applications and supporting documents must be submitted online by 11:59pm."
